Name,Description
Egg,
Beans,Potassium (408 mg/100g)
Honey,
Pears,
Limes,Vitamin C (29 mg/100g)
Water,
Lemons,Vitamin C (53 mg/100g)
Garlic,Vitamin C (31 mg/100g)
Butter,High fat (81.1 g/100g)
Apples,
Onions,
Lentils,High protein (24.6 g/100g)
Bananas,
Spinach,Vitamin C (28 mg/100g)
Carrots,
Cabbage,Vitamin C (37 mg/100g)
Eggplant,
Broccoli,Vitamin C (89 mg/100g)
Cucumber,
Wild rice,High fiber (6.2 g/100g)
Lime juice,Vitamin C (30 mg/100g)
Lemon peel,High fiber (10.6 g/100g)
Watermelon,
Cornstarch,
Breadfruit,Vitamin C (29 mg/100g)
Fish broth,
Watercress,Vitamin C (43 mg/100g)
Lemon juice,Vitamin C (39 mg/100g)
Wheat flour,High fiber (10.7 g/100g)
Tofu yogurt,
Potato flour,High fiber (5.9 g/100g)
Orange juice,Vitamin C (50 mg/100g)
Grape leaves,High fiber (11.0 g/100g)
Rice crackers,
Broccoli raab,Vitamin C (20 mg/100g)
"Fish, roe",High protein (22.3 g/100g)
"Milk, dry",High protein (36.2 g/100g)
"Bread, egg",Iron (3.0 mg/100g)
"Pasta, dry",Iron (3.3 mg/100g)
"Beef, loin",High protein (23.1 g/100g)
Buckwheat flour,High fiber (10.0 g/100g)
"Pork, loin",High protein (21.6 g/100g)
"Peas, green",High fiber (5.7 g/100g)
"Cream, sour",
"Corn, sweet",
"Rice, brown",
"Salt, table",High sodium (38700 mg/100g)
"Nuts, pecans",High fiber (9.6 g/100g)
"Cheese, goat",High protein (21.6 g/100g)
"Noodles, egg",Iron (4.0 mg/100g)
"Yogurt, Greek",
"Tomatoes, red",
"Sugars, brown",
Turkey,High protein (22.1 g/100g)
"Chicken, liver",High protein (16.9 g/100g)
"Pepper, banana",Vitamin C (83 mg/100g)
"Peppers, sweet",Vitamin C (80 mg/100g)
"Scrapple, pork",
"Peaches, yellow",
"Barley, pearled",High fiber (15.6 g/100g)
"Soymilk, nonfat",
"Egg rolls, pork",Vitamin C (29 mg/100g)
Soybeans,High protein (18.2 g/100g)
Potato salad with egg,
"Corn flour, masa",High fiber (6.4 g/100g)
"Headcheese, pork",High sodium (941 mg/100g)
"Mushrooms, white",
"Lettuce, iceberg",
"Rye flour, medium",High fiber (11.8 g/100g)
"Rice flour, white",
"Sour cream, light",
Pear nectar,
"Turkey ham, sliced",High protein (19.6 g/100g)
"Cream puff, eclair",
"Cornmeal, degermed",Iron (4.4 mg/100g)
"Rice cake, cracker",Potassium (428 mg/100g)
"Peanuts, all types",High protein (25.8 g/100g)
"Popcorn, microwave",High fiber (10.1 g/100g)
Tomato juice,Vitamin C (70 mg/100g)
"Soy flour, full-fat",High protein (37.8 g/100g)
"Oil, corn",High fat (100.0 g/100g)
Rice noodles,
Sweet potato,
Carrot juice,
Garlic bread,Iron (3.0 mg/100g)
"Ice creams, vanilla",
Peach nectar,
"Fruit butters, apple",
"Pie, peach",
"Chicken breast, deli",High protein (17.4 g/100g)
"Doughnuts, cake-type",High fat (24.9 g/100g)
"Turkey breast, sliced",High sodium (898 mg/100g)
"Sauce, fish",High sodium (7851 mg/100g)
"Peanut butter, smooth",High protein (25.9 g/100g)
"Butter oil, anhydrous",High fat (99.5 g/100g)
"Fat, turkey",High fat (99.8 g/100g)
"Syrups, corn",
"Ice cream cones, sugar",Iron (4.4 mg/100g)
"Roast beef, deli style",High protein (18.6 g/100g)
"Peanut flour, defatted",High protein (52.2 g/100g)
"Yogurt parfait, lowfat",
Chili with beans,Iron (3.4 mg/100g)
"Bacon, turkey",Vitamin C (24 mg/100g)
"Cereals, oats",High fiber (10.1 g/100g)
"Grapefruit juice, white",Vitamin C (38 mg/100g)
"Bologna, beef",High fat (26.1 g/100g)
Orange Pineapple Juice Blend,Vitamin C (41 mg/100g)
Buckwheat groats,
"Ice cream, bar or stick",High fat (24.1 g/100g)
